NAME,ADDRESS,SEQ,START,END,TYPE,READWRITE,DEFAULT,IS_REGISTER,GROUP
DRP.ES_SDATA_MASK1,4a,0,0,15,attr,rw,0,y,GTHE3_CHANNEL
DRP.ES_SDATA_MASK2,4b,0,0,15,attr,rw,0,y,GTHE3_CHANNEL
DRP.ES_SDATA_MASK3,4c,0,0,15,attr,rw,0,y,GTHE3_CHANNEL
DRP.ES_SDATA_MASK4,4d,0,0,15,attr,rw,0,y,GTHE3_CHANNEL
DRP.FTS_LANE_DESKEW_EN,4e,0,4,4,attr,rw,0,y,GTHE3_CHANNEL
DRP.FTS_DESKEW_SEQ_ENABLE,4e,0,0,3,attr,rw,0,y,GTHE3_CHANNEL
DRP.ES_HORZ_OFFSET,4f,0,4,15,attr,rw,0,y,GTHE3_CHANNEL
DRP.FTS_LANE_DESKEW_CFG,4f,0,0,3,attr,rw,0,y,GTHE3_CHANNEL
DRP.RXDFE_HC_CFG1,50,0,0,15,attr,rw,0,y,GTHE3_CHANNEL
DRP.GEN_RXUSRCLK,51,0,15,15,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.GEN_TXUSRCLK,51,0,14,14,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.GT_INSTANTIATED,51,0,13,13,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.ES_PMA_CFG,51,0,0,9,attr,rw,0,y,GTHE3_CHANNEL
DRP.RX_EN_HI_LR,52,0,10,10,attr,rw,0,y,GTHE3_CHANNEL
DRP.RX_DFE_AGC_CFG1,52,0,2,4,attr,rw,0,y,GTHE3_CHANNEL
DRP.RX_DFE_AGC_CFG0,52,0,0,1,attr,rw,0,y,GTHE3_CHANNEL
DRP.RXDFE_CFG0,53,0,0,15,attr,rw,0,y,GTHE3_CHANNEL
DRP.RXDFE_CFG1,54,0,0,15,attr,rw,0,y,GTHE3_CHANNEL
DRP.LOCAL_MASTER,55,0,13,13,attr,rw,0,y,GTHE3_CHANNEL
DRP.PCS_PCIE_EN,55,0,12,12,attr,rw,0,y,GTHE3_CHANNEL
DRP.ALIGN_MCOMMA_DET,55,0,10,10,attr,rw,0,y,GTHE3_CHANNEL
DRP.ALIGN_MCOMMA_VALUE,55,0,0,9,attr,rw,0,y,GTHE3_CHANNEL
DRP.A_RXDFETAP6HOLD,56,0,15,15,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.A_RXDFETAP6OVRDEN,56,0,14,14,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.A_RXDFETAP7HOLD,56,0,13,13,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.A_RXDFETAP7OVRDEN,56,0,12,12,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.ALIGN_PCOMMA_DET,56,0,10,10,attr,rw,0,y,GTHE3_CHANNEL
DRP.ALIGN_PCOMMA_VALUE,56,0,0,9,attr,rw,0,y,GTHE3_CHANNEL
DRP.TXDLY_LCFG,57,0,0,15,attr,rw,0,y,GTHE3_CHANNEL
DRP.RXDFE_OS_CFG0,58,0,0,15,attr,rw,0,y,GTHE3_CHANNEL
DRP.RXPHDLY_CFG,59,0,0,15,attr,rw,0,y,GTHE3_CHANNEL
DRP.RXDFE_OS_CFG1,5a,0,0,15,attr,rw,0,y,GTHE3_CHANNEL
DRP.RXDLY_CFG,5b,0,0,15,attr,rw,0,y,GTHE3_CHANNEL
DRP.RXDLY_LCFG,5c,0,0,15,attr,rw,0,y,GTHE3_CHANNEL
